Title,Rating,Release Date
The Godfather,9.2,1972
The Shawshank Redemption,9.3,1994
Schindler's List,9,1993
Raging Bull,8.2,1980
Casablanca,8.5,1942
Citizen Kane,8.3,1941
Gone with the Wind,8.2,1939
The Wizard of Oz,8.1,1939
One Flew Over the Cuckoo's Nest,8.7,1975
Lawrence of Arabia,8.3,1962
Vertigo,8.3,1958
Psycho,8.5,1960
The Godfather Part II,9,1974
On the Waterfront,8.1,1954
Sunset Blvd.,8.4,1950
Forrest Gump,8.8,1994
The Sound of Music,8.1,1965
12 Angry Men,9,1957
West Side Story,7.6,1961
Star Wars,8.6,1977
2001: A Space Odyssey,8.3,1968
E.T.,7.9,1982
The Silence of the Lambs,8.6,1991
Chinatown,8.2,1974
The Bridge on the River Kwai,8.2,1957
Singin' in the Rain,8.3,1952
It's a Wonderful Life,8.6,1946
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964
Some Like It Hot,8.2,1959
Ben-Hur,8.1,1959
Apocalypse Now,8.5,1979
Amadeus,8.4,1984
The Lord of the Rings: The Return of the King,9,2003
Gladiator,8.5,2000
Titanic,7.9,1997
From Here to Eternity,7.6,1953
Saving Private Ryan,8.6,1998
Unforgiven,8.2,1992
Raiders of the Lost Ark,8.4,1981
Rocky,8.1,1976
A Streetcar Named Desire,7.9,1951
The Philadelphia Story,7.9,1940
To Kill a Mockingbird,8.3,1962
An American in Paris,7.2,1951
The Best Years of Our Lives,8.1,1946
My Fair Lady,7.8,1964
A Clockwork Orange,8.3,1971
Doctor Zhivago,7.9,1965
The Searchers,7.9,1956
Jaws,8.1,1975
Patton,7.9,1970
Butch Cassidy and the Sundance Kid,8,1969
The Treasure of the Sierra Madre,8.2,1948
"The Good, the Bad and the Ugly",8.8,1966
The Apartment,8.3,1960
Platoon,8.1,1986
High Noon,8,1952
Braveheart,8.4,1995
Dances with Wolves,8,1990
Jurassic Park,8.2,1993
The Exorcist,8.1,1973
The Pianist,8.5,2002
Goodfellas,8.7,1990
The Deer Hunter,8.1,1978
All Quiet on the Western Front,8.1,1930
Bonnie and Clyde,7.7,1967
The French Connection,7.7,1971
City Lights,8.5,1931
It Happened One Night,8.1,1934
A Place in the Sun,7.7,1951
Midnight Cowboy,7.8,1969
Mr. Smith Goes to Washington,8.1,1939
Rain Man,8,1988
Annie Hall,8,1977
Fargo,8.1,1996
Giant,7.6,1956
Shane,7.6,1953
The Grapes of Wrath,8.1,1940
The Green Mile,8.6,1999
Close Encounters of the Third Kind,7.6,1977
Nashville,7.6,1975
Network,8.1,1976
The Graduate,8,1967
American Graffiti,7.4,1973
Pulp Fiction,8.9,1994
Terms of Endearment,7.4,1983
Good Will Hunting,8.3,1997
The African Queen,7.7,1951
Stagecoach,7.8,1939
Mutiny on the Bounty,7.6,1935
The Great Dictator,8.4,1940
Double Indemnity,8.3,1944
The Maltese Falcon,8,1941
Wuthering Heights,7.5,1939
Taxi Driver,8.2,1976
Rear Window,8.5,1954
The Third Man,8.1,1949
Rebel Without a Cause,7.6,1955
North by Northwest,8.3,1959
Yankee Doodle Dandy,7.6,1942
